Interaction_ID,User_ID,Appliance_ID,Home_Appliance,Category,Event_Type,User_Rating_Given,Purchased,Interaction_Date,Session_Duration_sec
1,U1415,1115,Soundbar,Entertainment,view,,0,2024-02-18,104.0
2,U1740,4863,Set Top Box,Entertainment,view,,0,2024-01-25,86.0
3,U1195,4078,Smart Curtain Motor,Smart Home,add_to_cart,,0,2023-07-24,
4,U0770,2794,Pressure Cooker,Kitchen,add_to_cart,,0,2024-09-05,
5,U0933,3588,Ice Crusher,Kitchen,add_to_cart,,0,2023-07-03,
6,U0905,3909,Dishwasher,Cleaning,view,,0,2023-08-24,60.0
7,U0024,2992,Bidet Seat,Bathroom,purchase,4.1,1,2023-09-12,
8,U1905,1632,Built In Refrigerator,Kitchen,purchase,3.0,1,2023-05-17,
9,U1539,1455,Garbage Disposal,Kitchen,add_to_cart,,0,2023-03-30,
10,U1154,1078,Electric Mop,Cleaning,view,,0,2023-09-15,223.0
11,U0763,1039,Sump Pump,Outdoor,add_to_cart,,0,2024-01-28,
12,U1577,3031,Water Dispenser,Kitchen,add_to_cart,,0,2024-06-27,
13,U0896,1644,Basement Dehumidifier,Outdoor,view,,0,2024-12-01,12.0
14,U1869,27,Pet Feeder,Pet,view,,0,2024-12-18,21.0
15,U1642,1085,Bottle Sterilizer,Kitchen,view,,0,2024-07-05,45.0
16,U1982,4606,Smart Vacuum,Cleaning,purchase,4.4,1,2023-04-02,
17,U0271,2698,Mini Fridge,Kitchen,view,,0,2024-09-30,219.0
18,U1008,4498,Landline Phone,Smart Home,view,,0,2024-05-16,219.0
19,U1516,4268,Smart TV,Entertainment,view,,0,2023-07-24,182.0
20,U0621,4037,Meat Grinder,Kitchen,purchase,2.0,1,2024-03-07,
21,U1876,4907,Air Cooler,Climate,add_to_cart,,0,2024-09-19,
22,U0218,1499,Projector,Entertainment,view,,0,2024-08-25,392.0
23,U1683,3777,Table Fan,Climate,view,,0,2023-08-10,13.0
24,U1119,26,Smart Curtain Motor,Smart Home,view,,0,2024-01-18,62.0
25,U0707,4073,Mixer Grinder,Kitchen,purchase,4.6,1,2024-02-02,
26,U0802,4140,Electric Mop,Cleaning,view,,0,2024-11-29,6.0
27,U1023,3442,Massager,Personal Care,add_to_cart,,0,2023-08-06,
28,U1605,1213,Pressure Cooker,Kitchen,wishlist,3.7,0,2023-06-05,
