User_ID,Age_Group,Gender,Occupation,City,Home_Type,Budget_Preference,Smart_Home_Interest,Eco_Conscious,Preferred_Category
U0001,26-35,Female,Retired,Delhi,Independent House,Luxury,Yes,Yes,Laundry
U0002,18-25,Male,Student,Delhi,PG/Hostel,Budget,No,No,Kitchen
U0003,36-45,Male,Homemaker,Mumbai,Villa,Premium,Yes,Yes,Bathroom
U0004,46-55,Male,Working Professional,Jaipur,Apartment,Mid-Range,Yes,No,Fitness
U0005,26-35,Male,Working Professional,Ahmedabad,Apartment,Mid-Range,Yes,No,Security
U0006,36-45,Male,Student,Kolkata,Apartment,Budget,Yes,Yes,Smart Home
U0007,26-35,Male,Business Owner,Delhi,Independent House,Premium,Yes,Yes,Networking
U0008,36-45,Female,Student,Mumbai,Apartment,Mid-Range,No,No,Pet
U0009,18-25,Other,Retired,Jaipur,PG/Hostel,Mid-Range,No,Yes,Networking
U0010,26-35,Female,Student,Delhi,Apartment,Budget,Yes,Yes,Outdoor
U0011,18-25,Male,Working Professional,Hyderabad,Villa,Mid-Range,No,Yes,Cleaning
U0012,26-35,Male,Homemaker,Bangalore,Independent House,Premium,Yes,Yes,Decor
U0013,36-45,Other,Working Professional,Lucknow,PG/Hostel,Mid-Range,Yes,No,Laundry
U0014,55+,Female,Business Owner,Ahmedabad,Villa,Premium,Yes,No,Laundry
U0015,18-25,Male,Working Professional,Mumbai,Apartment,Premium,Yes,Yes,Smart Home
U0016,26-35,Female,Working Professional,Chennai,Apartment,Premium,Yes,No,Smart Home
U0017,26-35,Male,Working Professional,Ahmedabad,PG/Hostel,Mid-Range,Yes,No,Cleaning
U0018,18-25,Female,Retired,Chennai,Apartment,Mid-Range,Yes,No,Decor
U0019,18-25,Female,Business Owner,Lucknow,Independent House,Luxury,Yes,Yes,Entertainment
U0020,46-55,Male,Student,Delhi,Apartment,Mid-Range,No,No,Entertainment
U0021,46-55,Male,Homemaker,Kolkata,Apartment,Mid-Range,No,Yes,Cleaning
U0022,26-35,Female,Working Professional,Jaipur,Independent House,Premium,No,Yes,Hobby
U0023,46-55,Male,Working Professional,Pune,Independent House,Premium,Yes,No,Cleaning
U0024,46-55,Female,Working Professional,Chennai,Independent House,Mid-Range,No,No,Bathroom
U0025,36-45,Male,Working Professional,Chennai,Apartment,Mid-Range,No,No,Tools
U0026,18-25,Male,Homemaker,Pune,Independent House,Mid-Range,No,Yes,Bathroom
U0027,55+,Male,Working Professional,Lucknow,PG/Hostel,Mid-Range,Yes,Yes,Networking
U0028,26-35,Male,Student,Hyderabad,Apartment,Mid-Range,Yes,No,Kitchen
U0029,55+,Female,Business Owner,Ahmedabad,PG/Hostel,Premium,No,No,Entertainment
U0030,46-55,Female,Working Professional,Ahmedabad,Independent House,Mid-Range,No,Yes,Bathroom
U0031,46-55,Male,Business Owner,Hyderabad,Apartment,Luxury,No,No,Tools
U0032,26-35,Female,Working Professional,Kolkata,PG/Hostel,Premium,No,Yes,Cleaning
U0033,18-25,Male,Working Professional,Delhi,Apartment,Premium,Yes,Yes,Security
U0034,18-25,Female,Working Professional,Lucknow,Apartment,Mid-Range,Yes,Yes,Power
U0035,36-45,Male,Homemaker,Delhi,Villa,Mid-Range,No,No,Kitchen
U0036,55+,Female,Working Professional,Chennai,Apartment,Mid-Range,Yes,Yes,Entertainment
U0037,26-35,Female,Student,Hyderabad,Independent House,Mid-Range,No,No,Tools
U0038,18-25,Female,Working Professional,Delhi,Apartment,Mid-Range,Yes,Yes,Fitness
U0039,18-25,Other,Working Professional,Mumbai,Apartment,Premium,Yes,No,Hobby
U0040,36-45,Male,Homemaker,Kolkata,Independent House,Mid-Range,No,No,Hobby
U0041,26-35,Female,Homemaker,Hyderabad,Independent House,Mid-Range,Yes,Yes,Fitness
U0042,18-25,Male,Business Owner,Chennai,Apartment,Premium,Yes,No,Kitchen
U0043,18-25,Female,Homemaker,Jaipur,Apartment,Premium,Yes,Yes,Security
U0044,36-45,Female,Working Professional,Hyderabad,Apartment,Mid-Range,Yes,Yes,Tools
U0045,36-45,Female,Working Professional,Mumbai,Apartment,Premium,Yes,Yes,Pet
U0046,26-35,Female,Student,Ahmedabad,PG/Hostel,Mid-Range,Yes,No,Climate
U0047,26-35,Female,Homemaker,Hyderabad,Independent House,Mid-Range,Yes,No,Power
U0048,36-45,Male,Working Professional,Mumbai,PG/Hostel,Premium,Yes,Yes,Bathroom
