Interaction_ID,User_ID,Appliance_ID,Home_Appliance,Category,Event_Type,User_Rating_Given,Purchased,Interaction_Date,Session_Duration_sec,Company,Country,Smart_Feature,WiFi_Connectivity,Voice_Control,App_Control,Energy_Rating,Annual_Energy_Consumption_kWh,Power_Consumption_Watts,Price_INR,Budget_Segment,Warranty_Years,Noise_Level_Category,Noise_Level_dB,Weight_kg,Suitable_Room,Installation_Required,Portable,Child_Lock,Auto_Shutoff,Timer_Function,Inverter_Technology,Color,Material,Size_Category,Remote_Control,Touch_Control,Display_Type,Connectivity,Power_Source,Certifications,User_Rating,Number_of_Reviews,Recommended_For,Maintenance_Level,Lifespan_Years,Eco_Friendly,Made_in_India,After_Sales_Service,Availability,Age_Group,Gender,Occupation,City,Home_Type,Budget_Preference,Smart_Home_Interest,Eco_Conscious,Preferred_Category
1,U1415,1115,Soundbar,Entertainment,view,,0,2024-02-18,104.0,Philips,Netherlands,Yes,Yes,Yes,Yes,B,265.2,209,17900,Premium,2,Ultra Silent (<30 dB),48,32.9,Home Office,No,Yes,No,Yes,No,No,Matte Black,Aluminum,Compact,Yes,Yes,Digital,WiFi+Bluetooth,Electric,RoHS,4.7,15926,Gamers,Low,12,Yes,No,Average,Online Only,36-45,Other,Business Owner,Bangalore,Independent House,Premium,No,No,Bathroom
2,U1740,4863,Set Top Box,Entertainment,view,,0,2024-01-25,86.0,Xiaomi,China,Yes,Yes,No,No,A,238.1,456,88000,Luxury,1,Moderate (41-55 dB),53,77.2,Living Room,No,Yes,Yes,Yes,Yes,No,Silver,ABS Plastic,Small,Yes,Yes,Analog,Z-Wave,Electric,ISI+BIS,2.6,91932,Couples,Medium,6,Yes,No,Excellent,Select Cities,36-45,Female,Homemaker,Jaipur,Villa,Mid-Range,No,No,Entertainment
3,U1195,4078,Smart Curtain Motor,Smart Home,add_to_cart,,0,2023-07-24,,Xiaomi,China,Yes,Yes,Yes,Yes,D,68.4,76,16400,Premium,3,Moderate (41-55 dB),26,45.3,Any,No,No,No,Yes,Yes,No,Red,Mixed,Compact,Yes,Yes,,WiFi+Bluetooth,Battery,CE,2.6,70380,Families,Low,4,No,No,Poor,Metro Cities,18-25,Male,Working Professional,Chennai,Apartment,Premium,Yes,Yes,Cleaning
4,U0770,2794,Pressure Cooker,Kitchen,add_to_cart,,0,2024-09-05,,Prestige,India,No,No,No,No,A,447.8,195,93700,Luxury,4,Loud (56-70 dB),34,65.9,Kitchen,No,No,Yes,Yes,Yes,No,Grey,Stainless Steel,Compact,Yes,Yes,Analog,,Electric,CE+RoHS,3.4,88134,Couples,Medium,15,No,Yes,Average,Metro Cities,55+,Male,Student,Chennai,Villa,Budget,Yes,No,Kitchen
5,U0933,3588,Ice Crusher,Kitchen,add_to_cart,,0,2023-07-03,,KitchenAid,United States,Yes,Yes,No,Yes,B,718.2,1437,12400,Mid-Range,3,Moderate (41-55 dB),61,32.8,Kitchen,No,No,Yes,Yes,Yes,Yes,Blue,Cast Iron,Medium,No,Yes,LCD,Z-Wave,Electric,BIS+ISI,3.1,96526,Bachelors,High,14,No,No,Excellent,Select Cities,18-25,Male,Homemaker,Jaipur,Villa,Mid-Range,No,Yes,Pet
6,U0905,3909,Dishwasher,Cleaning,view,,0,2023-08-24,60.0,Kent,India,No,No,No,No,A,3261.3,1681,49300,Premium,4,Moderate (41-55 dB),32,32.6,Living Room,No,Yes,No,No,No,Yes,Grey,ABS Plastic,Medium,No,No,,,Electric,CE+RoHS,3.1,39108,Offices,High,9,Yes,Yes,Average,Select Cities,36-45,Female,Business Owner,Hyderabad,Apartment,Premium,Yes,Yes,Kitchen
7,U0024,2992,Bidet Seat,Bathroom,purchase,4.1,1,2023-09-12,,Havells,India,No,No,No,No,A++,4596.5,3909,63500,Luxury,4,Ultra Silent (<30 dB),33,25.1,Bathroom,Yes,No,No,Yes,No,No,Rose Gold,Aluminum,Compact,No,No,,,Electric,Energy Star,4.5,20254,Bachelors,High,20,Yes,Yes,Excellent,Pan India,46-55,Female,Working Professional,Chennai,Independent House,Mid-Range,No,No,Bathroom
8,U1905,1632,Built In Refrigerator,Kitchen,purchase,3.0,1,2023-05-17,,Crompton,India,No,No,No,No,D,566.8,817,135600,Luxury,4,Very Loud (>70 dB),55,28.8,Kitchen,No,Yes,Yes,Yes,Yes,No,Silver,ABS Plastic,Small,Yes,No,LED,,Electric,Energy Star,3.8,17573,Families,Medium,12,No,Yes,Average,Online Only,26-35,Other,Homemaker,Bangalore,Apartment,Premium,Yes,Yes,Kitchen
9,U1539,1455,Garbage Disposal,Kitchen,add_to_cart,,0,2023-03-30,,Philips,Netherlands,No,No,No,No,A+++,1243.6,2336,900,Budget,2,Loud (56-70 dB),58,53.6,Kitchen,No,No,Yes,Yes,Yes,No,Rose Gold,Carbon Fiber,Medium,Yes,No,LED,,Electric,CE,2.5,28314,Working Professionals,Low,13,Yes,No,Poor,Online Only,18-25,Male,Student,Mumbai,Apartment,Budget,No,Yes,Decor
10,U1154,1078,Electric Mop,Cleaning,view,,0,2023-09-15,223.0,Black & Decker,United States,No,No,No,No,A+,395.2,715,1500,Budget,2,Silent (30-40 dB),73,16.7,Kitchen,No,No,Yes,No,Yes,Yes,Red,Stainless Steel,Compact,Yes,Yes,,,Electric,CE,2.9,63929,Offices,Medium,4,Yes,No,Good,Pan India,26-35,Male,Student,Ahmedabad,Apartment,Budget,Yes,No,Tools
